T,o,h,l,c,v
1649248500000,44810.6015625,44836.80078125,44798.0,44814.80078125,17.06450080871582
1649248560000,44814.80078125,44848.8984375,44805.3984375,44822.8984375,20.894899368286133
1649248620000,44822.8984375,44831.5,44782.5,44803.0,28.96969985961914
1649248680000,44803.0,44820.0,44785.8,44793.0,15.3863
1649248740000,44793.0,44800.0,44793.0,44793.6,14.018
1649248800000,44793.6,44845.5,44785.8,44845.5,20.9649
1649248860000,44845.5,44869.7,44841.7,44864.6,16.7379
1649248920000,44864.6,44874.1,44834.3,44861.4,12.9956
1649248980000,44861.4,44892.1,44833.9,44892.1,17.9294
1649249040000,44892.1,44907.0,44880.0,44888.5,16.831
1649249100000,44888.5,44896.6,44833.3,44836.1,20.7051
1649249160000,44836.1,44836.1,44803.5,44810.2,15.4023
1649249220000,44810.2,44848.6,44805.7,44843.3,36.7142
1649249280000,44843.3,44843.3,44803.5,44810.1,13.8808
1649249340000,44810.1,44813.0,44791.8,44813.0,39.3831
1649249400000,44813.0,44825.0,44788.2,44800.5,46.3679
1649249460000,44800.5,44801.8,44790.8,44793.0,37.7784
1649249520000,44793.0,44802.7,44784.6,44798.0,20.4607
1649249580000,44798.0,44836.2,44795.5,44825.5,18.0071
1649249640000,44825.5,44825.5,44776.0,44785.6,17.817
1649249700000,44785.6,44806.1,44773.9,44784.8,13.6526
1649249760000,44784.8,44795.8,44765.0,44767.8,22.2488
1649249820000,44767.8,44783.3,44751.3,44778.8,18.5007
1649249880000,44778.8,44817.6,44778.8,44802.7,23.8233
1649249940000,44802.69921875,44802.69921875,44751.0,44751.0,17.087499618530273
1649250000000,44751.0,44816.3984375,44720.0,44808.80078125,50.61899948120117
1649250060000,44808.8,44843.8,44808.8,44843.8,20.4568
1649250120000,44843.8,44848.2,44812.5,44848.2,35.7962
1649250180000,44848.2,44874.6,44844.3,44871.9,34.1277
1649250240000,44871.9,44871.9,44844.3,44850.0,19.9575
1649250300000,44850.0,44878.8,44847.7,44878.8,19.8041
1649250360000,44878.8,44896.4,44856.4,44872.6,26.7253
1649250420000,44872.6,44884.2,44863.2,44880.0,17.4323
1649250480000,44880.0,44941.19921875,44880.0,44933.69921875,27.955699920654297
1649250540000,44933.7,44933.7,44894.2,44900.1,20.9701
1649250600000,44900.1,44933.7,44890.5,44924.6,27.7172
1649250660000,44924.5,44931.5,44904.5,44909.3,12.9671
1649250720000,44909.30078125,44909.3984375,44893.0,44896.0,24.96500015258789
1649250780000,44896.0,44896.0,44884.3,44890.1,18.7713
1649250840000,44890.1,44898.1,44880.0,44891.0,14.36
1649250900000,44891.0,44894.1,44844.3,44844.3,32.4698
1649250960000,44844.3,44847.2,44772.0,44788.9,72.4387
1649251020000,44788.8984375,44887.0,44788.80078125,44871.1015625,32.58449935913086
1649251080000,44871.1,44894.1,44866.7,44890.9,9.33135
1649251140000,44890.9,44909.0,44877.1,44909.0,10.368
1649251200000,44909.0,44926.0,44907.0,44913.9,21.2718
1649251260000,44913.9,44922.6,44890.5,44917.3,25.5324
1649251320000,44917.3,44923.6,44917.3,44918.9,7.51864
1649251380000,44918.9,44943.5,44908.4,44938.3,16.2053
1649251440000,44939.0,44942.5,44914.8,44932.8,7.19182
1649251500000,44932.80078125,44932.80078125,44900.0,44908.30078125,9.738550186157227
1649251560000,44908.3,44908.3,44890.0,44894.2,13.323
1649251620000,44894.2,44914.3,44884.3,44914.3,12.5884
1649251680000,44914.3,44914.3,44908.1,44912.6,6.79231
1649251740000,44912.6,44942.5,44887.4,44897.8,44.0044
1649251800000,44897.8,44964.5,44890.0,44936.2,37.8622
1649251860000,44936.2,44965.8,44920.0,44920.0,26.1202
1649251920000,44920.0,44920.0,44813.6,44848.9,46.7591
1649251980000,44848.8984375,44880.0,44832.19921875,44832.19921875,43.87689971923828
1649252040000,44832.19921875,44884.0,44832.19921875,44857.0,23.94809913635254
1649252100000,44857.0,44864.6,44789.5,44789.5,35.1507
1649252160000,44789.5,44858.7,44747.0,44823.3,80.9781
1649252220000,44823.30078125,44823.30078125,44785.3984375,44800.80078125,83.28839874267578
1649252280000,44800.80078125,44800.80078125,44746.3984375,44771.5,37.500701904296875
1649252340000,44771.5,44783.3,44744.0,44765.7,36.593
1649252400000,44765.7,44807.0,44750.9,44769.6,48.6499
1649252460000,44769.6,44769.6,44730.0,44735.7,38.3606
1649252520000,44735.7,44736.0,44572.6,44695.0,313.297
1649252580000,44695.0,44768.9,44529.0,44609.8,164.771
1649252640000,44609.8,44638.9,44559.4,44575.2,120.322
1649252700000,44575.2,44698.5,44529.2,44689.4,139.602
1649252760000,44689.4,44689.4,44616.5,44633.1,46.1409
1649252820000,44633.1,44634.6,44535.0,44535.1,71.5718
1649252880000,44535.1,44535.1,44337.9,44343.8,518.867
1649252940000,44343.8,44356.2,44130.1,44267.7,980.76
1649253000000,44267.7,44333.3,44156.7,44249.8,231.44
1649253060000,44249.8,44315.9,44203.7,44279.0,118.82
1649253120000,44279.0,44305.8,44240.8,44254.5,79.873
1649253180000,44254.5,44319.8,44215.0,44294.6,71.9867
1649253240000,44294.5,44305.0,44235.2,44303.5,83.7695
1649253300000,44303.5,44372.2,44231.0,44369.3,271.177
1649253360000,44369.3,44399.0,44349.5,44381.2,73.1378
1649253420000,44381.19921875,44387.5,44301.3984375,44325.8984375,91.36940002441406
1649253480000,44325.8984375,44325.8984375,44243.6015625,44261.1015625,102.052001953125
1649253540000,44261.1,44261.1,44159.7,44165.9,86.2079
1649253600000,44165.9,44251.5,44091.2,44244.0,270.105
1649253660000,44244.0,44244.6,44143.6,44149.3,87.2932
1649253720000,44149.3,44187.9,44058.7,44167.3,330.232
1649253780000,44167.3,44178.4,44072.8,44114.6,173.809
1649253840000,44114.6,44120.8,43845.9,43950.1,870.553
1649253900000,43950.2,43950.2,43769.2,43897.3,543.626
1649253960000,43897.3,44004.9,43861.4,44003.8,166.133
1649254020000,44003.8,44010.0,43926.6,43942.0,119.155
1649254080000,43942.0,43983.69921875,43933.0,43982.1015625,125.28199768066406
1649254140000,43982.1015625,44025.69921875,43951.3984375,44015.3984375,143.3470001220703
1649254200000,44015.4,44079.3,43966.9,44079.3,158.584
1649254260000,44079.3,44095.9,44000.8,44007.1,99.3637
1649254320000,44007.1,44066.9,43983.0,44019.1,88.27
1649254380000,44019.1,44025.0,43967.3,43979.6,62.8328
1649254440000,43979.6,43999.3,43941.4,43976.8,52.5986
1649254500000,43976.8,44089.8,43970.0,44070.1,94.1645
1649254560000,44070.1,44163.9,44070.1,44101.0,104.737
1649254620000,44101.0,44120.2,44043.3,44057.2,68.0242
1649254680000,44057.2,44105.1,44056.7,44102.3,43.9206
1649254740000,44102.3,44109.2,44077.0,44088.7,57.2552
1649254800000,44088.7,44099.3,44057.2,44077.0,277.687
1649254860000,44077.0,44082.2,44033.3,44047.0,98.9192
1649254920000,44047.0,44099.3,44038.4,44099.3,28.4005
1649254980000,44099.3,44117.2,44064.5,44117.2,40.8828
1649255040000,44117.2,44162.3,44108.3,44137.2,72.4307
1649255100000,44137.2,44154.1,44100.0,44119.0,40.8146
1649255160000,44119.0,44119.0,44093.1,44113.2,52.4365
1649255220000,44113.2,44158.3,44113.2,44158.3,31.6738
1649255280000,44158.3,44165.5,44107.6,44139.7,51.7676
1649255340000,44139.6,44167.1,44134.6,44163.4,64.4405
1649255400000,44163.4,44173.5,44121.1,44172.0,35.7957
1649255460000,44172.0,44297.8,44172.0,44282.7,155.326
1649255520000,44282.7,44323.7,44254.3,44315.5,91.3272
1649255580000,44315.5,44497.0,44304.8,44439.0,187.115
1649255640000,44439.0,44440.5,44344.3,44359.0,143.983
1649255700000,44359.0,44410.4,44345.2,44356.6,51.6912
1649255760000,44356.6,44366.9,44288.0,44288.0,44.6268
1649255820000,44288.0,44352.3,44288.0,44300.0,51.2906
1649255880000,44300.0,44355.0,44273.8,44355.0,43.1002
1649255940000,44355.0,44394.6,44350.3,44387.5,25.1342
1649256000000,44387.5,44387.5,44284.1,44285.8,38.871
1649256060000,44285.8,44352.3,44282.7,44286.2,42.1633
1649256120000,44286.2,44315.3,44252.0,44309.9,54.9256
1649256180000,44309.9,44346.0,44299.1,44329.5,53.524
1649256240000,44329.5,44329.5,44280.0,44307.2,39.3044
1649256300000,44307.2,44307.8,44246.2,44271.1,56.533
1649256360000,44271.1,44307.2,44232.9,44298.8,94.6731
1649256420000,44298.8,44389.4,44298.7,44352.4,75.5654
1649256480000,44352.4,44362.2,44300.0,44303.9,33.6498
1649256540000,44304.0,44360.0,44285.7,44352.5,30.6648
1649256600000,44352.5,44376.0,44352.5,44354.6,39.6427
1649256660000,44354.6,44374.1,44334.3,44343.0,17.3836
1649256720000,44343.0,44348.5,44301.2,44309.3,49.8781
1649256780000,44309.3,44339.2,44292.8,44330.8,19.9905
1649256840000,44330.8,44344.7,44306.6,44308.8,31.0653
1649256900000,44308.8,44344.1,44303.4,44315.5,19.5394
1649256960000,44315.4,44315.5,44285.0,44302.6,22.3769
1649257020000,44302.6,44302.6,44267.9,44280.3,20.6843
1649257080000,44280.3,44292.1,44257.3,44277.3,31.3529
1649257140000,44277.3,44278.3,44243.3,44259.0,20.042
1649257200000,44259.0,44282.4,44201.0,44217.7,71.4742
1649257260000,44217.6,44274.5,44201.4,44271.7,60.7686
1649257320000,44271.7,44299.0,44250.8,44290.6,39.3893
1649257380000,44290.6,44305.4,44213.6,44216.6,50.3976
1649257440000,44216.6,44232.4,44196.0,44226.4,46.302
1649257500000,44226.4,44247.6,44196.1,44213.1,25.7699
1649257560000,44213.1,44230.8,44100.0,44147.9,128.667
1649257620000,44147.9,44152.3,44108.0,44132.6,61.1707
1649257680000,44132.6,44187.7,44126.2,44134.3,48.4732
1649257740000,44134.3,44142.6,44076.9,44077.7,260.101
1649257800000,44077.7,44142.6,44075.0,44087.9,57.3676
1649257860000,44087.9,44099.6,44060.0,44099.6,32.104
1649257920000,44099.6,44111.6,44038.7,44073.3,56.161
1649257980000,44073.3,44130.1,44069.7,44124.2,38.3223
1649258040000,44124.2,44137.0,44070.9,44070.9,29.2481
1649258100000,44070.9,44138.8,44069.7,44104.7,76.2729
1649258160000,44104.7,44142.6,44104.7,44138.8,21.0496
1649258220000,44138.8,44140.2,44056.2,44065.9,55.9343
1649258280000,44065.9,44065.9,43901.0,43912.7,152.427
1649258340000,43912.7,43933.5,43847.8,43870.2,126.87
1649258400000,43870.2,43918.6,43855.2,43877.4,51.9938
1649258460000,43877.4,43954.1,43852.6,43951.8,85.2383
1649258520000,43951.8,43972.0,43920.7,43971.7,79.804
1649258580000,43971.7,44108.5,43971.7,44072.6,79.6809
